Stock Symbol,52_week_high,Stop Loss Today
AMZN,True,False
XOM,False,False
AAPL,False,False
CVS,False,False
UNH,False,False
GOOGL,True,False
MCK,False,False
COST,False,False
CI,False,False
T,True,False
CAH,False,False
MSFT,True,False
CVX,False,False
HD,False,False
WBA,False,False
MPC,False,False
KR,False,False
F,False,False
JPM,False,False
GM,False,False
VZ,False,False
CNC,False,False
PSX,False,False
VLO,False,False
BAC,False,False
DELL,False,False
JNJ,False,False
PG,False,False
HUM,False,False
WFC,False,False
LMT,False,False
UPS,False,False
INTC,False,False
C,False,False
PEP,False,False
BA,False,False
MET,False,False
ADM,False,False
DOW,False,False
RTX,False,False
BBY,False,False
PFE,False,False
GE,False,False
TGT,False,False
HON,False,False
GS,False,False
MS,False,False
DE,False,False
HCA,True,False
ORCL,False,False
TMO,False,False
MRK,False,False
KO,True,False
DIS,False,False
PGR,False,False
CMCSA,False,False
PAGP,False,False
ALL,False,False
TSN,False,False
MMM,False,False
DAL,False,False
CTSH,False,False
HPE,False,False
NUE,False,False
BMY,False,False
SNX,False,False
EPD,False,False
UAL,False,False
ET,False,False
GD,False,False
AVT,False,False
GLP,False,False
MO,False,False
EXC,False,False
TRV,False,False
OKE,False,False
WDC,False,False
BAX,False,False
ARW,False,False
TMUS,False,False
NVDA,False,False
CHWY,False,False
CRWD,True,False
PANW,False,False
